time point,Amount open (pixels),Norm open,Speed of closing,Norm close speed
1,665368,1,-19111,-0.992392574321693
2,646257,0.971277548664799,-14533.5,-0.7546929767623
3,636301,0.956314400452081,-8584,-0.445748409710502
4,629089,0.945475285856849,-6954,-0.361106062573024
5,622393,0.935411681956451,-9114.5,-0.47329611839543
6,610860,0.91807841675584,-13795.5,-0.716370245358951
7,594802,0.893944403698404,-16862.5,-0.875632870310269
8,577135,0.867392179966575,-14216,-0.738205893807607
9,566370,0.851213163241995,-13462.5,-0.699078281189147
10,550210,0.826925851558837,-14204.5,-0.737608723873815
11,537961,0.808516490122759,-12956,-0.672776840192133
12,524298,0.787981988914405,-13428.5,-0.697312735297936
13,511104,0.768152360798836,-13890.5,-0.721303388290277
14,496517,0.746229154392757,-13846.5,-0.719018564195768
15,483411,0.726531783915067,-12395,-0.643645332987148
16,471727,0.708971576631278,-11128.5,-0.57787874853953
17,461154,0.693081122025706,-9820.5,-0.509957159548228
18,452086,0.679452573613399,-8877,-0.460963261067117
19,443400,0.666398143583701,-9449,-0.490665974295729
20,433188,0.651050245878972,-8672.5,-0.450344021809685
21,426055,0.640329862572291,-9579.5,-0.49744255484876
22,414029,0.622255654014019,-10250,-0.532260158379852
23,405555,0.609519844657393,-7334.5,-0.38086459820849
24,399360,0.600209207536281,-7687,-0.399169154874724
25,390181,0.586413834148922,-3993.5,-0.207373750486823
26,391373,0.588205323971096,-4096,-0.212696352070622
27,381989,0.574101850404588,-14817,-0.769414513825782
28,361739,0.543667564415481,-15029,-0.780423211735687
29,351931,0.528926849502832,-10840.5,-0.562923536284564
30,340058,0.511082588883144,-11991.5,-0.622692457484097
31,327948,0.492882134397807,-11818.5,-0.613708944567052
32,316421,0.475557886763415,-10976,-0.569959755939244
33,305996,0.459889865457912,-11860.5,-0.615889913020901
34,292700,0.43990693871662,-14066.5,-0.730442684668311
35,277863,0.417608000384749,-10375.5,-0.538777099831235
36,271949,0.408719685948227,-8535,-0.443203946514345
37,260793,0.39195302449171,-9408,-0.48853693366221
38,253133,0.38044059828546,-9950.5,-0.516707776191094
39,240892,0.362043260271008,-11315,-0.587563287031027
40,230503,0.346429344362819,-11679,-0.606465013631053
41,217534,0.326937874980462,-12320.5,-0.639776710372582
42,205862,0.309395702829111,-13446.5,-0.698247436063871
43,190641,0.286519640259225,-17210,-0.893677787874854
44,171442,0.257664931286145,-19257.5,-1
45,152126,0.228634379771795,-19238,-0.99898740750357
46,132966,0.199838284979139,-18082.5,-0.938984811112553
47,115961,0.174280999386805,-18710.5,-0.971595482279631
48,95545,0.143597227398973,-16664.5,-0.86535116188498
49,82632,0.124189921967994,-15492.5,-0.804491756458523
50,64560,0.0970290125163819,-14985.5,-0.778164351551344
51,52661,0.0791456757764124,-11276.5,-0.585564065948332
52,42007,0.0631334840268844,-7829,-0.406542905361547
53,37003,0.0556128338002429,-5610.5,-0.291341035960016
54,30786,0.0462691322696613,-6372.5,-0.330910035051279
55,24258,0.0364580202233952,-6219,-0.322939114630663
56,18348,0.0275757174976855,-4446.5,-0.230897053096196
57,15365,0.023092484159142,-2337.5,-0.121381280020771
58,13673,0.0205495304853855,-2237.5,-0.116188497987797
59,10890,0.0163668826874752,-2285.5,-0.118681033363625
60,9102,0.0136796479542148,-1300.5,-0.067532130338829
61,8289,0.012457767731541,-1313,-0.0681812280929508
62,6476,0.00973295980570151,-759,-0.0394132156302739
63,6771,0.0101763234781354,193.5,0.010048033233805
64,6863,0.0103145928268267,-812,-0.0421653901077502
65,5147,0.0077355688881942,-1456.5,-0.0756328703102687
66,3950,0.00593656442750478,-1477,-0.0766973906270284
67,2193,0.00329592045304253,-1079.5,-0.0560560820459561
68,1791,0.00269174351636989,-316.5,-0.0164351551343632
69,1560,0.0023445672169386,-395,-0.020511489030248
70,1001,0.00150443063086893,-363,-0.0188497987796962
71,834,0.00125344170444025,-106,-0.00550434895495262
72,789,0.00118580995779779,-39.5,-0.0020511489030248
73,755,0.00113471041589015,-34,-0.00176554589121122
